#,One-Liner
1,"The modern factory for fast, low-cost metals."
2,The first voice assistant that can control every app on your iPhone
3,AI-native CRM for putting post-sales operations on autopilot
4,Foundational Voice Models for regional languages
5,AI social app for female transplants
6,Making AI run fast on any hardware.
7,Voice AI for European Enterprises
8,Agentic Operating System for Food Supply Chain
9,AI agents for industrial commerce
10,AI agents for the consumer lending industry
11,Ultra-realistic AI Recruiter
12,Build AI agents for field technicians to diagnose and sell 10x better
13,AI regulatory drafting and compliance
14,AI powered brokerage reducing residential rental commissions in NYC…
15,Next-gen observability that finds & fixes bugs automatically
16,The Cross-Border Neobank for the Middle East
17,Replacing forms with AI conversations
18,Recruit and Monitor AI Employees
19,Reshoring critical metal production
20,AI Agent for Clinic EMRs
21,All-in-one TypeScript cloud for production AI apps
22,AI Tax Preparer for CPA firms
23,Optimizing fleet planning with data driven algorithms
24,The AI Real Estate Agent
25,The frontend coding agent for real codebases.
26,Waymo for excavators
27,Code from your phone
28,Building a GPS alternative 100x more powerful with no hardware needed.
29,"Build AI coworkers using natural language, it's Lovable for agents"
30,Computer vision for bulk inventory tracking
31,Crazy Fast Browsers-as-a-Service
32,We automate creator marketing for the world's largest brands
33,Replacing the restaurant phone line with Voice AI
34,AI Motion Designer
35,Reliable Web Agents for Enterprise
36,Intelligent Unified Inbox + Personal CRM
37,AI Referral Automation for Primary Care Clinics
38,Talk to your AI
39,The world's first AI-maximalist pharma company
40,The Cursor for Chip Design - Delivering Silicon-Ready Chip Designs…
41,The AI tutor that lives in your notes
42,AI Native Rippling for Deskless Workers
43,Automating compliance checks for engineering drawings
44,Infrastructure to build reliable agents
45,Autonomous Marketing AI for Ecommerce Brands
46,Voice AI Agents for Debt Collection
47,Helping commercial real estate brokers find and close more deals.
48,We audit medical claims for self-insured employers and health plans.
49,AI platform to grow and to optimize car washes
50,AI-Native BPO for travel & transport
51,Operational intelligence for PE funds and PE-backed companies
52,Vibecoding platform for non-coders who build serious apps
53,Procurement Platform for Dental Offices
54,AI coworkers for fraud and risk teams.
55,AI Customer Support Teams for E-commerce
56,AI agents that automate administrative work across college campuses.
57,The Command Center for AI Agents
58,Convert textual content into explainer videos in < 15s
59,AI QA Engineer for Mobile Teams
60,Voice AI Executive Assistant
61,AI Insurance for hardware.
62,AI accounting for enterprise finance teams
63,Consumer focus groups run by AI
64,ImageNet for world models
